SESSIONID,REQUESTEDURL,rating,REQUESTMONTH,day,hour,eps10,eps300,eps001
1234231,h:7491,1,1,d:30,d:23,d:229,d:26,d:335
1781387,h:16089,1,1,d:30,d:22,d:208,d:21,d:304
1110836,h:4432,1,1,d:31,d:3,d:18,d:1,d:20
1066758,h:7284,1,1,d:31,d:2,d:17,d:2,d:142
1867978,h:5222,1,1,d:31,d:4,d:11,d:1,d:34
1244809,h:11492,1,1,d:31,d:2,d:147,d:17,d:212
2023878,h:119463,1,1,d:31,d:3,d:18,d:1,d:20
1029809,h:9310,1,1,d:31,d:4,d:200,d:9,d:292
1141030,h:47981,1,1,d:31,d:3,d:157,d:2,d:227
1202495,h:11195,1,1,d:31,d:11,d:68,d:5,d:357
1210684,h:62528,1,12,d:24,d:0,d:17,d:2,d:19
1844513,h:11195,1,1,d:31,d:12,d:17,d:2,d:44
1022239,h:62528,1,3,d:19,d:22,d:17,d:2,d:19
1059955,h:516185,1,3,d:19,d:22,d:101,d:2,d:143
1307644,h:4700,1,1,d:31,d:15,d:12,d:1,d:340
1324174,h:393985,1,3,d:5,d:16,d:245,d:14,d:358
1127155,h:228595,1,3,d:19,d:23,d:17,d:2,d:66
1063587,h:4432,1,3,d:5,d:19,d:6,d:1,d:6
1275854,h:12949,1,3,d:5,d:17,d:57,d:2,d:79
1089321,h:5222,1,3,d:5,d:19,d:11,d:1,d:150
1089321,h:5222,1,3,d:5,d:19,d:11,d:1,d:150
1148130,h:213842,1,12,d:25,d:2,d:148,d:2,d:216
1295453,h:830046,1,3,d:19,d:23,d:2,d:1,d:16
1045792,h:5222,1,3,d:5,d:20,d:60,d:1,d:83
1019381,h:1027513,1,3,d:5,d:18,d:84,d:2,d:118
1121756,h:54369,1,3,d:19,d:23,d:186,d:2,d:319
1189900,h:23730,1,3,d:5,d:20,d:17,d:2,d:61
1043858,h:32679,1,3,d:19,d:22,d:185,d:2,d:270
1263625,h:57197,1,3,d:5,d:20,d:17,d:2,d:24
1030821,h:4700,1,1,d:23,d:19,d:192,d:1,d:278
1151627,h:196211,1,3,d:5,d:21,d:35,d:2,d:42
1144388,h:235787,1,3,d:20,d:0,d:17,d:2,d:44
1023209,h:17702,1,3,d:5,d:22,d:17,d:2,d:89
1127155,h:941407,1,3,d:19,d:23,d:17,d:2,d:66
1221847,h:61002,1,3,d:5,d:21,d:246,d:1,d:359
1144034,h:7620,1,3,d:5,d:22,d:58,d:1,d:80
1072864,h:11138,1,3,d:5,d:23,d:16,d:1,d:90
1060724,h:7620,1,3,d:20,d:1,d:38,d:2,d:47
1295415,h:55368,1,3,d:5,d:22,d:17,d:2,d:24
1295453,h:241632,1,3,d:20,d:0,d:2,d:1,d:16
1690560,h:9897,1,3,d:19,d:23,d:32,d:2,d:38
1322617,h:9924,1,3,d:5,d:23,d:178,d:2,d:258
1268359,h:151168,1,3,d:20,d:1,d:31,d:6,d:37
1215689,h:4432,1,3,d:16,d:11,d:2,d:1,d:43
1032536,h:7489,1,3,d:16,d:11,d:226,d:2,d:328
1215689,h:4432,1,3,d:16,d:11,d:2,d:1,d:43
1076508,h:7489,1,3,d:16,d:13,d:222,d:2,d:323
1236817,h:9310,1,3,d:16,d:14,d:71,d:2,d:100
1124616,h:31097,1,3,d:16,d:14,d:2,d:1,d:43
1215689,h:60,1,3,d:16,d:14,d:2,d:1,d:43
1058533,h:5222,1,3,d:16,d:14,d:50,d:2,d:65
1031524,h:7620,1,3,d:16,d:15,d:17,d:2,d:66
1014140,h:749697,1,3,d:16,d:15,d:18,d:1,d:20
1643531,h:60,1,3,d:16,d:16,d:35,d:2,d:42
1189306,h:169601,1,3,d:20,d:1,d:2,d:1,d:2
1301357,h:12004,1,3,d:20,d:2,d:23,d:1,d:343
1287937,h:613224,1,3,d:20,d:1,d:64,d:2,d:88
1312682,h:23558,1,3,d:16,d:16,d:82,d:2,d:116
1694392,h:7491,1,3,d:16,d:16,d:209,d:22,d:305
1048722,h:157566,1,3,d:16,d:17,d:41,d:2,d:52
1094757,h:731115,1,3,d:20,d:2,d:18,d:1,d:20
1091694,h:62528,1,3,d:16,d:17,d:189,d:2,d:275
1031524,h:39814,1,3,d:16,d:17,d:17,d:2,d:66
1700335,h:151186,1,3,d:20,d:2,d:2,d:1,d:15
1111292,h:4361,1,3,d:16,d:18,d:18,d:1,d:20
1660045,h:9822,1,3,d:16,d:18,d:26,d:2,d:30
1032305,h:7324,1,3,d:16,d:16,d:17,d:2,d:19
1860976,h:3104,1,3,d:16,d:18,d:103,d:2,d:145
1325776,h:191923,1,3,d:16,d:19,d:189,d:2,d:360
1587542,h:864055,1,3,d:16,d:18,d:2,d:1,d:15
1242147,h:1113164,1,3,d:16,d:18,d:2,d:1,d:15
1309930,h:431011,1,3,d:16,d:19,d:62,d:1,d:86
1050113,h:5222,1,3,d:16,d:19,d:17,d:2,d:66
1700335,h:568817,1,3,d:16,d:19,d:2,d:1,d:15
1094757,h:54558,1,3,d:16,d:20,d:18,d:1,d:20
1115641,h:54548,1,3,d:16,d:20,d:52,d:1,d:70
1153163,h:2297,1,3,d:16,d:20,d:177,d:2,d:257
1844052,h:50547,1,3,d:16,d:20,d:116,d:2,d:332
1309930,h:730829,1,3,d:16,d:19,d:62,d:1,d:86
1075536,h:243120,1,3,d:16,d:21,d:90,d:11,d:127
1215773,h:2964,1,3,d:16,d:20,d:17,d:2,d:24
1127155,h:433869,1,3,d:16,d:20,d:17,d:2,d:66
1058722,h:32679,1,3,d:16,d:20,d:45,d:7,d:59
1059955,h:605779,1,3,d:16,d:20,d:101,d:2,d:143
1115641,h:42342,1,3,d:16,d:21,d:52,d:1,d:70
1074537,h:154352,1,3,d:16,d:22,d:116,d:2,d:186
1079971,h:21948,1,3,d:20,d:2,d:16,d:1,d:273
1115641,h:609167,1,3,d:16,d:22,d:52,d:1,d:70
1127155,h:244579,1,3,d:16,d:22,d:17,d:2,d:66
1346763,h:9822,1,3,d:17,d:1,d:17,d:2,d:24
1195023,h:301448,1,3,d:17,d:0,d:48,d:1,d:63
1060056,h:1217,1,3,d:19,d:19,d:197,d:5,d:286
1251107,h:148204,1,3,d:17,d:1,d:2,d:1,d:43
1072653,h:341818,1,3,d:17,d:1,d:24,d:5,d:28
1275854,h:54433,1,3,d:17,d:1,d:57,d:2,d:79
1153163,h:277915,1,3,d:17,d:2,d:177,d:2,d:257
1297040,h:54379,1,3,d:17,d:2,d:18,d:1,d:20
1104584,h:122389,1,3,d:18,d:7,d:2,d:1,d:51
1269099,h:243310,1,3,d:17,d:2,d:1,d:1,d:1
1082035,h:314168,1,3,d:17,d:2,d:2,d:1,d:49
1311304,h:54431,1,3,d:18,d:8,d:151,d:1,d:219
1096924,h:77014,1,3,d:18,d:7,d:2,d:1,d:15
1076677,h:54377,1,3,d:18,d:8,d:2,d:1,d:43
1275854,h:610106,1,3,d:17,d:2,d:57,d:2,d:79
1307644,h:15889,1,3,d:17,d:1,d:12,d:1,d:340
1032688,h:2031,1,3,d:17,d:0,d:17,d:2,d:44
1129151,h:17055,1,3,d:17,d:3,d:2,d:1,d:2
1270377,h:9310,1,3,d:23,d:16,d:183,d:19,d:265
1127155,h:244579,1,3,d:17,d:5,d:17,d:2,d:66
1022239,h:62528,1,3,d:17,d:4,d:17,d:2,d:19
1161713,h:353062,1,3,d:20,d:9,d:1,d:1,d:1
1057857,h:60,1,3,d:17,d:6,d:234,d:21,d:344
1127155,h:119481,1,3,d:17,d:6,d:17,d:2,d:66
1239490,h:2297,1,3,d:20,d:11,d:98,d:2,d:137
1346398,h:2964,1,12,d:9,d:3,d:148,d:2,d:216
1192612,h:16436,1,3,d:17,d:11,d:13,d:2,d:13
1254194,h:3104,1,3,d:17,d:12,d:2,d:1,d:2
1239056,h:21948,1,3,d:20,d:13,d:200,d:9,d:292
1275854,h:4432,1,3,d:17,d:14,d:57,d:2,d:79
1217278,h:78593,1,12,d:10,d:17,d:124,d:2,d:179
1243218,h:16093,1,3,d:23,d:11,d:11,d:1,d:54
1013526,h:5222,1,3,d:17,d:15,d:77,d:2,d:132
1238733,h:5222,1,3,d:17,d:15,d:247,d:1,d:361
1006856,h:2297,1,3,d:17,d:15,d:248,d:2,d:362
1280457,h:38424,1,3,d:17,d:15,d:63,d:2,d:87
1309138,h:2297,1,3,d:17,d:16,d:249,d:2,d:363
1094638,h:756993,1,3,d:17,d:16,d:2,d:1,d:15
1031524,h:11138,1,3,d:17,d:16,d:17,d:2,d:66
1177002,h:56294,1,3,d:17,d:16,d:178,d:2,d:258
1003993,h:60,1,3,d:17,d:16,d:17,d:2,d:44
1242577,h:7491,1,3,d:17,d:16,d:24,d:5,d:28
1309930,h:318783,1,3,d:17,d:16,d:62,d:1,d:86
1226745,h:2964,1,3,d:17,d:17,d:24,d:5,d:28
1075536,h:99630,1,3,d:17,d:17,d:90,d:11,d:127
1041129,h:688578,1,3,d:17,d:17,d:35,d:2,d:42
1218030,h:32679,1,3,d:17,d:17,d:11,d:1,d:34
1210224,h:601224,1,3,d:17,d:18,d:18,d:1,d:20
1660045,h:2297,1,3,d:17,d:18,d:26,d:2,d:30
1270377,h:25208,1,3,d:17,d:17,d:183,d:19,d:265
1176658,h:54550,1,3,d:17,d:17,d:2,d:1,d:43
1247525,h:7620,1,3,d:23,d:13,d:77,d:2,d:132
1275854,h:11138,1,3,d:17,d:18,d:57,d:2,d:79
1136237,h:11492,1,3,d:17,d:18,d:163,d:2,d:236
1031802,h:7620,1,3,d:17,d:18,d:17,d:2,d:24
1079971,h:39814,1,3,d:17,d:18,d:16,d:1,d:273
1129477,h:138863,1,3,d:17,d:19,d:24,d:5,d:28
1270377,h:390,1,3,d:17,d:18,d:183,d:19,d:265
1003659,h:736021,1,3,d:17,d:18,d:2,d:1,d:2
1147027,h:3104,1,3,d:23,d:14,d:12,d:1,d:300
1217278,h:838,1,12,d:11,d:20,d:124,d:2,d:179
1253646,h:775011,1,3,d:17,d:19,d:2,d:1,d:15
1207541,h:54709,1,3,d:17,d:19,d:2,d:1,d:15
1660045,h:32679,1,3,d:17,d:20,d:26,d:2,d:30
1031802,h:297623,1,3,d:23,d:14,d:17,d:2,d:24
1217278,h:35096,1,12,d:12,d:3,d:124,d:2,d:179
1053671,h:661348,1,3,d:17,d:19,d:2,d:1,d:49
1028318,h:138863,1,3,d:17,d:20,d:36,d:2,d:45
1263117,h:41735,1,3,d:17,d:21,d:33,d:1,d:302
1311304,h:513409,1,3,d:23,d:15,d:151,d:1,d:219
1127155,h:132192,1,3,d:17,d:20,d:17,d:2,d:66
1301350,h:154703,1,3,d:17,d:20,d:70,d:5,d:99
1094638,h:54431,1,3,d:17,d:20,d:2,d:1,d:15
1293515,h:28192,1,3,d:17,d:21,d:32,d:2,d:38
1856945,h:4432,1,3,d:17,d:21,d:18,d:1,d:20
1210684,h:10936,1,3,d:17,d:21,d:17,d:2,d:19
1320005,h:22081,1,3,d:17,d:21,d:33,d:1,d:40
1311932,h:7489,1,3,d:17,d:22,d:41,d:2,d:338
1301284,h:77014,1,3,d:17,d:22,d:18,d:1,d:20
1010403,h:203379,1,3,d:17,d:22,d:17,d:2,d:66
1129477,h:11138,1,3,d:17,d:23,d:24,d:5,d:28
1242577,h:15889,1,3,d:17,d:22,d:24,d:5,d:28
1090938,h:4432,1,3,d:17,d:23,d:250,d:1,d:364
1121756,h:54548,1,3,d:17,d:22,d:186,d:2,d:319
1700335,h:568817,1,3,d:17,d:22,d:2,d:1,d:15
1210224,h:601220,1,3,d:17,d:23,d:18,d:1,d:20
1218329,h:684727,1,3,d:17,d:22,d:18,d:1,d:20
1086494,h:950644,1,3,d:18,d:0,d:11,d:1,d:34
1882988,h:138177,1,3,d:18,d:0,d:18,d:1,d:20
1079971,h:4432,1,3,d:18,d:1,d:16,d:1,d:273
1101807,h:404717,1,3,d:18,d:1,d:1,d:1,d:1
1226745,h:5222,1,3,d:18,d:1,d:24,d:5,d:28
1888184,h:43940,1,3,d:18,d:1,d:18,d:1,d:20
1084158,h:21987,1,3,d:18,d:0,d:138,d:1,d:365
1090938,h:5222,1,3,d:18,d:1,d:250,d:1,d:364
1299803,h:756226,1,3,d:18,d:0,d:18,d:1,d:20
1125195,h:54602,1,3,d:18,d:2,d:18,d:1,d:20
1856945,h:62118,1,3,d:18,d:2,d:18,d:1,d:20
1256876,h:198973,1,3,d:18,d:2,d:46,d:1,d:60
1644301,h:11386,1,3,d:18,d:1,d:2,d:1,d:15
1014906,h:23558,1,3,d:18,d:2,d:20,d:2,d:366
1115641,h:54369,1,3,d:18,d:3,d:52,d:1,d:70
1254456,h:4432,1,3,d:23,d:16,d:251,d:2,d:367
1189306,h:169601,1,3,d:18,d:4,d:2,d:1,d:2
1252222,h:4432,1,3,d:18,d:4,d:73,d:1,d:102
1048116,h:10935,1,3,d:18,d:4,d:151,d:1,d:219
1127155,h:54372,1,3,d:18,d:3,d:17,d:2,d:66
1692307,h:783,1,3,d:18,d:4,d:48,d:1,d:63
1311304,h:11138,1,3,d:23,d:17,d:151,d:1,d:219
1311304,h:11138,1,3,d:23,d:17,d:151,d:1,d:219
1252222,h:503306,1,3,d:18,d:5,d:73,d:1,d:102
1074537,h:25208,1,3,d:18,d:3,d:116,d:2,d:186
1270377,h:25208,1,3,d:18,d:5,d:183,d:19,d:265
1072653,h:7491,1,3,d:18,d:6,d:24,d:5,d:28
1266748,h:154352,1,3,d:18,d:5,d:10,d:1,d:10
1054130,h:5222,1,3,d:23,d:18,d:11,d:1,d:54
1189900,h:194314,1,12,d:10,d:2,d:17,d:2,d:61
1253646,h:54326,1,3,d:23,d:18,d:2,d:1,d:15
1301284,h:102712,1,3,d:23,d:18,d:18,d:1,d:20
1263625,h:7284,1,12,d:8,d:22,d:17,d:2,d:24
1222667,h:4432,1,3,d:23,d:18,d:17,d:2,d:66
1037250,h:38424,1,3,d:23,d:20,d:252,d:2,d:368
1163577,h:950642,1,3,d:23,d:19,d:2,d:1,d:15
1024622,h:51062,1,3,d:23,d:17,d:238,d:2,d:349
1034151,h:12408,1,3,d:23,d:19,d:104,d:2,d:146
1253876,h:318782,1,3,d:23,d:20,d:2,d:1,d:15
1187317,h:60,1,3,d:23,d:20,d:126,d:15,d:182
1572545,h:950642,1,3,d:23,d:20,d:253,d:2,d:369
1860976,h:31710,1,3,d:23,d:20,d:103,d:2,d:145
1263897,h:4432,1,3,d:23,d:20,d:18,d:1,d:20
1089321,h:5222,1,3,d:23,d:20,d:11,d:1,d:150
1000887,h:280373,1,3,d:23,d:20,d:32,d:2,d:329
1218329,h:4432,1,3,d:23,d:20,d:18,d:1,d:20
1195673,h:54270,1,3,d:23,d:21,d:18,d:1,d:20
1572545,h:60,1,3,d:23,d:21,d:253,d:2,d:369
1242147,h:1113164,1,3,d:23,d:21,d:2,d:1,d:15
1034151,h:46717,1,3,d:24,d:0,d:104,d:2,d:146
1361167,h:9822,1,3,d:24,d:11,d:17,d:2,d:19
1040820,h:9822,1,3,d:24,d:11,d:11,d:1,d:54
1287405,h:4084,1,3,d:24,d:11,d:2,d:1,d:69
1312120,h:62528,1,3,d:24,d:10,d:189,d:2,d:275
1075536,h:611035,1,3,d:24,d:14,d:90,d:11,d:127
1106382,h:60,1,3,d:24,d:14,d:213,d:2,d:309
1298581,h:29488,1,3,d:24,d:15,d:9,d:2,d:9
1144293,h:632273,1,3,d:24,d:14,d:2,d:1,d:43
1129477,h:11138,1,3,d:24,d:14,d:24,d:5,d:28
1150424,h:1026737,1,3,d:24,d:13,d:18,d:1,d:20
