SESSIONID,USERID,REQUESTMONTH,REQUESTEDURL,day,hour,eps10,eps300,eps001
1256876,1256876,4,h:54326,d:21,d:19,d:46,d:1,d:60
1094757,1094757,4,h:11370,d:21,d:21,d:18,d:1,d:20
2144345,2144345,4,h:584943,d:21,d:20,d:45,d:7,d:59
1250769,1250769,4,h:212815,d:21,d:20,d:18,d:1,d:20
1253635,1253635,4,h:444296,d:21,d:19,d:18,d:1,d:20
1210224,1210224,4,h:601220,d:21,d:20,d:18,d:1,d:20
1118742,1118742,12,h:6345,d:11,d:23,d:17,d:2,d:61
1346022,1346022,4,h:429217,d:21,d:21,d:18,d:1,d:20
1204652,1204652,4,h:103165,d:21,d:21,d:18,d:1,d:20
1065764,1065764,4,h:135397,d:21,d:20,d:2,d:1,d:15
1802887,1802887,4,h:34208,d:21,d:22,d:47,d:2,d:62
1311483,1311483,4,h:62132,d:21,d:21,d:18,d:1,d:20
1020837,1020837,4,h:734045,d:21,d:20,d:18,d:1,d:20
1283589,1283589,4,h:789646,d:21,d:21,d:48,d:1,d:63
1880897,1880897,4,h:277755,d:21,d:22,d:45,d:7,d:59
2144833,2144833,4,h:20073,d:21,d:20,d:30,d:2,d:36
1480414,1480414,4,h:5222,d:21,d:22,d:44,d:1,d:58
2143527,2143527,4,h:38137,d:21,d:19,d:49,d:2,d:64
1889732,1889732,4,h:610108,d:21,d:20,d:2,d:1,d:2
1243125,1243125,4,h:108936,d:21,d:22,d:40,d:1,d:50
1058533,1058533,12,h:32799,d:14,d:2,d:50,d:2,d:65
1127155,1127155,4,h:235795,d:21,d:21,d:17,d:2,d:66
2046311,2046311,4,h:43942,d:21,d:22,d:2,d:1,d:2
2147999,2147999,4,h:1011459,d:21,d:22,d:51,d:1,d:67
1244340,1244340,4,h:248813,d:21,d:22,d:24,d:5,d:28
1297018,1297018,4,h:93851,d:21,d:22,d:2,d:1,d:15
1005284,1005284,4,h:387968,d:21,d:22,d:20,d:2,d:22
1075499,1075499,4,h:47021,d:21,d:22,d:32,d:2,d:38
1700606,1700606,4,h:72361,d:21,d:22,d:18,d:1,d:20
1255944,1255944,4,h:72361,d:21,d:22,d:21,d:2,d:68
1283686,1283686,4,h:92494,d:21,d:22,d:2,d:1,d:69
1104520,1104520,4,h:109670,d:21,d:22,d:2,d:1,d:51
1115641,1115641,4,h:54363,d:21,d:22,d:52,d:1,d:70
2046311,2046311,4,h:775910,d:22,d:1,d:2,d:1,d:2
1290414,1290414,4,h:5222,d:21,d:23,d:16,d:1,d:71
1889732,1889732,4,h:190625,d:21,d:22,d:2,d:1,d:2
1026410,1026410,4,h:108937,d:21,d:23,d:2,d:1,d:2
2145459,2145459,4,h:3570,d:21,d:23,d:30,d:2,d:36
1623654,1623654,4,h:18006,d:21,d:23,d:53,d:2,d:72
1281401,1281401,4,h:119469,d:21,d:22,d:18,d:1,d:20
1157466,1157466,4,h:5222,d:21,d:22,d:54,d:2,d:73
1108592,1108592,4,h:315558,d:21,d:21,d:28,d:2,d:74
1014140,1014140,4,h:11138,d:22,d:0,d:18,d:1,d:20
1284546,1284546,4,h:88448,d:21,d:23,d:18,d:1,d:20
1252229,1252229,4,h:430665,d:21,d:23,d:2,d:1,d:2
1186957,1186957,4,h:5222,d:22,d:0,d:11,d:1,d:75
1013711,1013711,4,h:507498,d:21,d:23,d:18,d:1,d:20
1000159,1000159,4,h:2297,d:21,d:23,d:34,d:2,d:41
1129399,1129399,4,h:54709,d:21,d:23,d:2,d:1,d:2
1313292,1313292,4,h:54824,d:21,d:23,d:12,d:1,d:76
1576458,1576458,4,h:206914,d:22,d:0,d:55,d:1,d:77
1030422,1030422,4,h:72361,d:22,d:0,d:56,d:8,d:78
1222596,1222596,4,h:4084,d:22,d:0,d:17,d:2,d:61
1275854,1275854,12,h:83007,d:10,d:2,d:57,d:2,d:79
1587539,1587539,4,h:244579,d:21,d:23,d:2,d:1,d:15
1144034,1144034,4,h:7620,d:22,d:0,d:58,d:1,d:80
1222819,1222819,4,h:60,d:22,d:0,d:32,d:2,d:38
1177145,1177145,4,h:7620,d:22,d:0,d:58,d:1,d:81
1214165,1214165,4,h:11138,d:22,d:0,d:45,d:7,d:59
1022335,1022335,4,h:424191,d:22,d:0,d:17,d:2,d:19
1307706,1307706,4,h:47159,d:21,d:23,d:59,d:2,d:82
1382500,1382500,4,h:250535,d:21,d:23,d:17,d:2,d:24
1705270,1705270,4,h:4432,d:22,d:0,d:32,d:2,d:38
1313292,1313292,4,h:15991,d:22,d:0,d:12,d:1,d:76
1045792,1045792,12,h:15889,d:25,d:14,d:60,d:1,d:83
2065609,2065609,4,h:584943,d:22,d:0,d:18,d:1,d:20
1705270,1705270,4,h:4432,d:22,d:0,d:32,d:2,d:38
1786568,1786568,4,h:11195,d:22,d:0,d:61,d:2,d:84
2143527,2143527,4,h:532433,d:21,d:23,d:49,d:2,d:64
1622369,1622369,4,h:32679,d:22,d:1,d:26,d:2,d:85
1346427,1346427,4,h:107670,d:21,d:22,d:23,d:1,d:27
1508619,1508619,4,h:740595,d:21,d:22,d:62,d:1,d:86
1161842,1161842,4,h:15682,d:22,d:1,d:63,d:2,d:87
1133421,1133421,4,h:303239,d:21,d:23,d:64,d:2,d:88
1263897,1263897,4,h:554403,d:22,d:1,d:18,d:1,d:20
1346119,1346119,12,h:407,d:10,d:2,d:17,d:2,d:19
1090989,1090989,4,h:54522,d:21,d:23,d:18,d:1,d:20
1162532,1162532,4,h:591438,d:22,d:1,d:18,d:1,d:20
1020837,1020837,4,h:54372,d:21,d:22,d:18,d:1,d:20
1398630,1398630,4,h:72361,d:22,d:1,d:18,d:1,d:20
2143508,2143508,4,h:4432,d:22,d:1,d:6,d:1,d:6
1162532,1162532,4,h:18006,d:22,d:1,d:18,d:1,d:20
1243125,1243125,4,h:54792,d:22,d:1,d:40,d:1,d:50
1023209,1023209,12,h:122945,d:11,d:1,d:17,d:2,d:89
1480414,1480414,4,h:60,d:22,d:1,d:44,d:1,d:58
1004058,1004058,4,h:93850,d:22,d:1,d:18,d:1,d:20
2143508,2143508,4,h:4432,d:22,d:1,d:6,d:1,d:6
1093377,1093377,4,h:72361,d:22,d:1,d:18,d:1,d:20
1072864,1072864,12,h:11138,d:11,d:23,d:16,d:1,d:90
1001208,1001208,4,h:108937,d:22,d:0,d:65,d:2,d:91
1096906,1096906,4,h:18006,d:21,d:23,d:2,d:1,d:2
1853281,1853281,4,h:1104621,d:21,d:23,d:18,d:1,d:20
2143546,2143546,4,h:229634,d:22,d:1,d:29,d:2,d:35
1210079,1210079,4,h:932891,d:21,d:22,d:18,d:1,d:20
2145752,2145752,4,h:54792,d:22,d:1,d:40,d:1,d:50
1144293,1144293,4,h:677967,d:21,d:23,d:2,d:1,d:43
2145529,2145529,4,h:601040,d:22,d:1,d:2,d:1,d:15
1254194,1254194,4,h:190625,d:22,d:2,d:2,d:1,d:2
1053026,1053026,4,h:54363,d:22,d:1,d:18,d:1,d:20
1072442,1072442,12,h:51712,d:9,d:0,d:66,d:2,d:92
1125195,1125195,4,h:54602,d:22,d:2,d:18,d:1,d:20
1176657,1176657,4,h:42344,d:22,d:0,d:2,d:1,d:43
1042500,1042500,4,h:7620,d:22,d:1,d:11,d:1,d:54
1608363,1608363,4,h:137400,d:22,d:3,d:17,d:2,d:93
1161842,1161842,4,h:207163,d:22,d:1,d:63,d:2,d:87
1623654,1623654,4,h:10475,d:22,d:1,d:53,d:2,d:72
1888184,1888184,4,h:152161,d:22,d:1,d:18,d:1,d:20
1157471,1157471,4,h:243310,d:22,d:1,d:24,d:5,d:28
1694054,1694054,4,h:51555,d:22,d:0,d:67,d:9,d:94
1398630,1398630,4,h:54369,d:22,d:2,d:18,d:1,d:20
1197240,1197240,4,h:169601,d:15,d:8,d:68,d:5,d:95
1283265,1283265,4,h:314422,d:15,d:6,d:10,d:1,d:10
1041898,1041898,4,h:54431,d:15,d:8,d:2,d:1,d:2
1048017,1048017,4,h:54431,d:15,d:8,d:1,d:1,d:1
1283686,1283686,4,h:54431,d:15,d:7,d:2,d:1,d:69
1035912,1035912,4,h:4432,d:15,d:15,d:32,d:2,d:96
1052325,1052325,4,h:6350,d:15,d:16,d:2,d:1,d:15
1252403,1252403,4,h:154689,d:15,d:16,d:1,d:1,d:1
1868150,1868150,4,h:62528,d:15,d:17,d:45,d:7,d:97
1263518,1263518,4,h:168913,d:16,d:3,d:69,d:2,d:98
1327334,1327334,4,h:11138,d:16,d:6,d:11,d:1,d:54
1301350,1301350,12,h:69366,d:11,d:20,d:70,d:5,d:99
1014129,1014129,4,h:54270,d:16,d:5,d:2,d:1,d:15
1089007,1089007,4,h:4432,d:16,d:11,d:18,d:1,d:20
1226379,1226379,4,h:103165,d:17,d:3,d:2,d:1,d:2
1252229,1252229,4,h:430665,d:17,d:5,d:2,d:1,d:2
1244708,1244708,4,h:244579,d:17,d:6,d:2,d:1,d:15
1223701,1223701,4,h:5222,d:17,d:6,d:16,d:1,d:18
1276887,1276887,4,h:4084,d:17,d:6,d:71,d:2,d:100
1199653,1199653,4,h:21948,d:17,d:4,d:72,d:2,d:101
1867978,1867978,4,h:5222,d:17,d:6,d:11,d:1,d:34
1066275,1066275,4,h:235318,d:17,d:4,d:73,d:1,d:102
1022335,1022335,4,h:632272,d:17,d:4,d:17,d:2,d:19
1053752,1053752,4,h:154596,d:17,d:5,d:1,d:1,d:1
1123724,1123724,4,h:4700,d:17,d:5,d:24,d:5,d:28
1234843,1234843,4,h:1078922,d:17,d:5,d:10,d:1,d:10
1209436,1209436,4,h:677965,d:17,d:6,d:2,d:1,d:2
1572389,1572389,4,h:753167,d:17,d:6,d:45,d:7,d:59
1111225,1111225,4,h:11492,d:17,d:6,d:74,d:2,d:103
1001208,1001208,4,h:108937,d:17,d:4,d:65,d:2,d:91
1173105,1173105,4,h:312810,d:17,d:4,d:11,d:1,d:11
1576458,1576458,4,h:4432,d:17,d:4,d:55,d:1,d:77
1283265,1283265,4,h:107670,d:17,d:6,d:10,d:1,d:10
1297036,1297036,4,h:54600,d:17,d:4,d:2,d:1,d:69
1059753,1059753,4,h:54611,d:17,d:5,d:18,d:1,d:20
1223296,1223296,4,h:228595,d:17,d:5,d:18,d:1,d:20
1253646,1253646,4,h:803564,d:22,d:2,d:2,d:1,d:15
1541149,1541149,4,h:92494,d:22,d:2,d:17,d:2,d:24
1009252,1009252,4,h:54448,d:17,d:5,d:18,d:1,d:20
1306059,1306059,4,h:11195,d:17,d:10,d:11,d:1,d:54
1311688,1311688,4,h:176508,d:17,d:7,d:75,d:1,d:104
1205326,1205326,4,h:2297,d:17,d:10,d:13,d:2,d:105
1159880,1159880,4,h:29488,d:17,d:8,d:76,d:2,d:106
1854635,1854635,4,h:280373,d:17,d:10,d:32,d:2,d:107
1854635,1854635,4,h:280373,d:17,d:10,d:32,d:2,d:107
1222819,1222819,4,h:675,d:22,d:2,d:32,d:2,d:38
1879953,1879953,4,h:242040,d:22,d:1,d:35,d:2,d:42
2145752,2145752,4,h:190625,d:22,d:2,d:40,d:1,d:50
1058682,1058682,4,h:7284,d:17,d:11,d:17,d:2,d:19
1889732,1889732,4,h:543745,d:22,d:0,d:2,d:1,d:2
1824450,1824450,4,h:60,d:22,d:2,d:42,d:1,d:53
1125198,1125198,4,h:119469,d:22,d:3,d:2,d:1,d:15
1013310,1013310,4,h:280373,d:17,d:9,d:32,d:2,d:108
1013310,1013310,4,h:280373,d:17,d:9,d:32,d:2,d:108
1060724,1060724,4,h:9310,d:17,d:11,d:38,d:2,d:47
1882988,1882988,4,h:228051,d:22,d:1,d:18,d:1,d:20
1273831,1273831,4,h:397468,d:22,d:1,d:2,d:1,d:15
1232385,1232385,4,h:2297,d:17,d:11,d:72,d:2,d:101
1731401,1731401,12,h:9310,d:25,d:12,d:77,d:2,d:109
1121864,1121864,12,h:21646,d:10,d:2,d:17,d:2,d:19
1291766,1291766,12,h:34538,d:9,d:2,d:78,d:10,d:110
1346491,1346491,4,h:394046,d:17,d:10,d:2,d:1,d:51
1026364,1026364,4,h:60,d:17,d:11,d:10,d:1,d:10
1104632,1104632,4,h:3104,d:17,d:10,d:79,d:2,d:111
1660045,1660045,4,h:32679,d:17,d:11,d:26,d:2,d:30
1205326,1205326,4,h:603128,d:17,d:11,d:13,d:2,d:105
1018006,1018006,4,h:23558,d:17,d:11,d:80,d:2,d:112
1867978,1867978,4,h:15889,d:17,d:11,d:11,d:1,d:34
1060724,1060724,4,h:9310,d:17,d:11,d:38,d:2,d:47
1072442,1072442,12,h:157565,d:10,d:2,d:66,d:2,d:92
1013274,1013274,4,h:10936,d:17,d:11,d:17,d:2,d:66
1148227,1148227,4,h:29488,d:17,d:11,d:9,d:2,d:9
1002229,1002229,4,h:29488,d:17,d:10,d:9,d:2,d:9
1161142,1161142,12,h:15889,d:25,d:13,d:81,d:2,d:113
1005677,1005677,4,h:633606,d:17,d:10,d:48,d:1,d:63
1257421,1257421,4,h:4202,d:17,d:11,d:8,d:2,d:8
1018143,1018143,4,h:9822,d:17,d:11,d:17,d:2,d:114
1301184,1301184,4,h:2964,d:17,d:12,d:17,d:2,d:115
1171351,1171351,4,h:7284,d:17,d:11,d:82,d:2,d:116
1075499,1075499,4,h:47021,d:17,d:11,d:32,d:2,d:38
1071364,1071364,4,h:11138,d:17,d:12,d:83,d:7,d:117
1085881,1085881,4,h:4432,d:17,d:14,d:18,d:1,d:20
1019381,1019381,4,h:86326,d:17,d:12,d:84,d:2,d:118
1625458,1625458,4,h:104175,d:17,d:14,d:2,d:1,d:15
1288473,1288473,4,h:886049,d:17,d:14,d:18,d:1,d:20
2085711,2085711,4,h:4432,d:17,d:14,d:18,d:1,d:20
1104632,1104632,4,h:38424,d:17,d:13,d:79,d:2,d:111
1186133,1186133,4,h:4432,d:17,d:14,d:18,d:1,d:20
1237056,1237056,4,h:4432,d:17,d:18,d:24,d:5,d:28
1326476,1326476,4,h:4432,d:17,d:19,d:85,d:1,d:119
1124614,1124614,4,h:54524,d:17,d:20,d:2,d:1,d:43
1313309,1313309,4,h:119463,d:17,d:19,d:2,d:1,d:69
1106726,1106726,12,h:9310,d:13,d:0,d:86,d:1,d:120
1037551,1037551,4,h:67574,d:17,d:21,d:12,d:1,d:121
1115641,1115641,4,h:151044,d:17,d:21,d:52,d:1,d:70
1276887,1276887,4,h:7489,d:17,d:21,d:71,d:2,d:100
1113129,1113129,4,h:7489,d:17,d:20,d:87,d:2,d:122
1176657,1176657,4,h:54550,d:17,d:20,d:2,d:1,d:43
1283686,1283686,4,h:12949,d:17,d:19,d:2,d:1,d:69
1303395,1303395,4,h:668341,d:17,d:19,d:2,d:1,d:49
1001245,1001245,4,h:21948,d:17,d:21,d:88,d:1,d:123
1250682,1250682,4,h:3104,d:17,d:21,d:89,d:2,d:124
1245234,1245234,4,h:2964,d:18,d:0,d:34,d:2,d:41
1146888,1146888,4,h:93791,d:17,d:23,d:2,d:1,d:2
1096906,1096906,4,h:207186,d:18,d:0,d:2,d:1,d:2
1324668,1324668,4,h:29488,d:18,d:1,d:17,d:2,d:125
1283686,1283686,4,h:207186,d:18,d:0,d:2,d:1,d:69
1192065,1192065,4,h:190625,d:17,d:23,d:18,d:1,d:20
1291766,1291766,12,h:782,d:10,d:3,d:78,d:10,d:110
1020621,1020621,4,h:72361,d:18,d:2,d:2,d:1,d:15
1092017,1092017,4,h:122387,d:18,d:1,d:2,d:1,d:15
1005284,1005284,4,h:54602,d:18,d:1,d:20,d:2,d:22
1872999,1872999,4,h:54602,d:17,d:23,d:18,d:1,d:20
1281401,1281401,4,h:119469,d:18,d:1,d:18,d:1,d:20
1097995,1097995,12,h:5222,d:10,d:5,d:16,d:1,d:18
1060724,1060724,4,h:9310,d:18,d:1,d:38,d:2,d:47
1001782,1001782,4,h:68691,d:18,d:2,d:30,d:2,d:36
1193455,1193455,4,h:244413,d:18,d:2,d:2,d:1,d:43
1026096,1026096,4,h:690507,d:18,d:1,d:2,d:1,d:15
1251107,1251107,4,h:396509,d:18,d:1,d:2,d:1,d:43
1361147,1361147,12,h:32679,d:10,d:4,d:26,d:2,d:30
1005677,1005677,4,h:184105,d:18,d:0,d:48,d:1,d:63
1572389,1572389,4,h:753167,d:18,d:1,d:45,d:7,d:59
1116466,1116466,4,h:239318,d:18,d:0,d:39,d:1,d:126
1126702,1126702,4,h:119462,d:18,d:0,d:2,d:1,d:2
1176657,1176657,4,h:54508,d:18,d:2,d:2,d:1,d:43
1197182,1197182,4,h:119500,d:18,d:2,d:2,d:1,d:15
1059844,1059844,4,h:60,d:18,d:2,d:90,d:11,d:127
1068280,1068280,4,h:3104,d:18,d:0,d:91,d:2,d:128
1644301,1644301,4,h:109056,d:18,d:2,d:2,d:1,d:15
1183877,1183877,4,h:516185,d:18,d:1,d:2,d:1,d:43
1040946,1040946,4,h:2964,d:18,d:2,d:17,d:2,d:19
1326476,1326476,4,h:12004,d:18,d:1,d:85,d:1,d:119
1004058,1004058,4,h:54338,d:18,d:0,d:18,d:1,d:20
1048017,1048017,4,h:212815,d:18,d:3,d:1,d:1,d:1
1058533,1058533,4,h:9310,d:18,d:1,d:50,d:2,d:65
1692149,1692149,4,h:4432,d:18,d:3,d:48,d:1,d:63
1541646,1541646,4,h:11195,d:18,d:2,d:66,d:2,d:92
1102956,1102956,4,h:23558,d:18,d:1,d:17,d:2,d:66
1162602,1162602,4,h:54785,d:18,d:1,d:18,d:1,d:20
1083505,1083505,4,h:104174,d:18,d:3,d:2,d:1,d:49
1326476,1326476,4,h:4432,d:18,d:3,d:85,d:1,d:119
1691709,1691709,4,h:190625,d:18,d:3,d:2,d:1,d:2
1327334,1327334,4,h:42321,d:18,d:2,d:11,d:1,d:54
1690843,1690843,4,h:275494,d:18,d:0,d:18,d:1,d:20
1152341,1152341,4,h:979412,d:18,d:3,d:52,d:1,d:70
1189306,1189306,4,h:169601,d:18,d:3,d:2,d:1,d:2
1282680,1282680,4,h:137400,d:18,d:3,d:2,d:1,d:69
1221263,1221263,4,h:119541,d:18,d:1,d:35,d:2,d:42
1346513,1346513,4,h:9822,d:18,d:3,d:17,d:2,d:24
1307252,1307252,4,h:241634,d:18,d:3,d:2,d:1,d:16
1283686,1283686,4,h:12949,d:18,d:3,d:2,d:1,d:69
1237056,1237056,4,h:299187,d:18,d:2,d:24,d:5,d:28
1307027,1307027,4,h:43959,d:18,d:1,d:92,d:2,d:129
1199653,1199653,4,h:7620,d:18,d:4,d:72,d:2,d:101
1263395,1263395,4,h:449700,d:18,d:1,d:18,d:1,d:20
1058682,1058682,4,h:2964,d:18,d:4,d:17,d:2,d:19
1256876,1256876,4,h:54379,d:18,d:4,d:46,d:1,d:60
1252229,1252229,4,h:62128,d:18,d:3,d:2,d:1,d:2
1103849,1103849,4,h:11138,d:18,d:4,d:8,d:2,d:8
1116152,1116152,4,h:23558,d:18,d:9,d:20,d:2,d:130
1166817,1166817,4,h:5222,d:18,d:22,d:11,d:1,d:11
1151408,1151408,4,h:4432,d:19,d:6,d:93,d:1,d:131
1089007,1089007,4,h:4432,d:19,d:5,d:18,d:1,d:20
1151408,1151408,4,h:4432,d:19,d:14,d:93,d:1,d:131
1283686,1283686,4,h:54765,d:19,d:19,d:2,d:1,d:69
1009252,1009252,4,h:62132,d:19,d:20,d:18,d:1,d:20
1013526,1013526,4,h:4432,d:19,d:18,d:77,d:2,d:132
1001245,1001245,4,h:2297,d:19,d:20,d:88,d:1,d:123
1296909,1296909,4,h:2297,d:19,d:19,d:94,d:5,d:133
1237288,1237288,4,h:54296,d:19,d:18,d:2,d:1,d:2
1256876,1256876,4,h:54416,d:20,d:0,d:46,d:1,d:60
1284546,1284546,4,h:54288,d:20,d:0,d:18,d:1,d:20
1223296,1223296,4,h:65037,d:20,d:1,d:18,d:1,d:20
1257409,1257409,4,h:22985,d:20,d:2,d:95,d:2,d:134
1128968,1128968,4,h:23558,d:20,d:2,d:96,d:2,d:135
1018006,1018006,4,h:23558,d:20,d:2,d:80,d:2,d:112
1153085,1153085,12,h:9310,d:11,d:23,d:97,d:2,d:136
1346950,1346950,4,h:46717,d:20,d:9,d:24,d:5,d:28
1691709,1691709,4,h:207186,d:20,d:15,d:2,d:1,d:2
1054503,1054503,4,h:64,d:20,d:14,d:4,d:2,d:4
1274004,1274004,4,h:21948,d:20,d:14,d:98,d:2,d:137
1123521,1123521,4,h:64,d:20,d:14,d:99,d:2,d:138
1084141,1084141,4,h:7620,d:20,d:16,d:48,d:1,d:63
1193732,1193732,12,h:36418,d:10,d:4,d:44,d:1,d:139
