[INFO ] 2017-09-29 14:50:16,568 -- WorkingPath: /Users/igorsantana/git/pibic/context-aware_data_sets/Movie_DePaulMovie/CARSKit.Workspace/
[INFO ] 2017-09-29 14:50:16,581 -- Your original rating data path: /Users/igorsantana/git/pibic/context-aware_data_sets/Movie_DePaulMovie/ratings.txt
[INFO ] 2017-09-29 14:50:16,581 -- Current working path: /Users/igorsantana/git/pibic/context-aware_data_sets/Movie_DePaulMovie/CARSKit.Workspace/
[WARN ] 2017-09-29 14:50:16,584 -- You rating data is in Compact format. CARSKit is working on transformation on the data format...
[INFO ] 2017-09-29 14:50:16,793 -- Data transformaton completed (from Compact to Binary format). See new rating file: /Users/igorsantana/git/pibic/context-aware_data_sets/Movie_DePaulMovie/CARSKit.Workspace/ratings_binary.txt
[INFO ] 2017-09-29 14:50:16,813 -- Dataset: ...ARSKit.Workspace/ratings_binary.txt
[INFO ] 2017-09-29 14:50:16,815 -- DataPath: /Users/igorsantana/git/pibic/context-aware_data_sets/Movie_DePaulMovie/CARSKit.Workspace/ratings_binary.txt
[INFO ] 2017-09-29 14:50:17,033 -- Rating data set has been successfully loaded.
[INFO ] 2017-09-29 14:50:17,052 -- 
/*********************************************************************************************************************
 *
 * Dataset: /Users/igorsantana/git/pibic/context-aware_data_sets/Movie_DePaulMovie/CARSKit.Workspace/ratings_binary.txt
 * 
 * Statistics of U-I-C Matrix:
 * User amount: 97
 * Item amount: 79
 * Rate amount: 5035
 * Context dimensions: 3 (companion, location, time)
 * Context conditions: 10 (companion: 4, location: 3, time: 3)
 * Context situations: 13
 * Data density: 1.82297330607391930000%
 * Scale distribution: [2.0 x 625, 4.0 x 1209, 1.0 x 829, 5.0 x 1367, 3.0 x 1005]
 * Average value of all ratings: 3.329688
 * Standard deviation of all ratings: 1.414732
 * Mode of all rating values: 5.000000
 * Median of all rating values: 4.000000
 *
 *********************************************************************************************************************/
[INFO ] 2017-09-29 14:50:17,057 -- With Setup: cv -k 2 -p on --rand-seed 1 --test-view all
[DEBUG] 2017-09-29 14:50:17,082 -- Fold [1]: training amount: 2514, test amount: 2515
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: companion:alone
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: companion:family
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: companion:na
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: companion:partner
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: location:cinema
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: location:home
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: location:na
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: time:na
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: time:weekday
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: time:weekend
[DEBUG] 2017-09-29 14:50:17,250 -- Começada a execução do modelo inteiro do fold 1
[DEBUG] 2017-09-29 14:50:17,254 -- Fold [1]: training amount: 1257, test amount: 1257
[DEBUG] 2017-09-29 14:50:17,705 -- BPR fold [1] iter 15: loss = 4591.5327, delta_loss = 143.06703, learn_rate = 0.0037712986
[DEBUG] 2017-09-29 14:50:17,706 -- BPR fold [11] iter 16: loss = 3918.7498, delta_loss = 155.67863, learn_rate = 0.0039598634
[DEBUG] 2017-09-29 14:50:17,713 -- BPR fold [1] iter 16: loss = 4512.0327, delta_loss = 79.49985, learn_rate = 0.0039598634
[DEBUG] 2017-09-29 14:50:17,714 -- BPR fold [11] iter 17: loss = 3766.9473, delta_loss = 151.80241, learn_rate = 0.0041578566
[DEBUG] 2017-09-29 14:50:17,722 -- BPR fold [1] iter 17: loss = 4412.791, delta_loss = 99.24196, learn_rate = 0.0041578566
[DEBUG] 2017-09-29 14:50:17,726 -- BPR fold [11] iter 18: loss = 3577.4014, delta_loss = 189.54587, learn_rate = 0.004365749
[DEBUG] 2017-09-29 14:50:17,733 -- BPR fold [1] iter 18: loss = 4298.778, delta_loss = 114.013, learn_rate = 0.004365749
[DEBUG] 2017-09-29 14:50:17,736 -- BPR fold [11] iter 19: loss = 3427.2173, delta_loss = 150.18416, learn_rate = 0.004584037
[DEBUG] 2017-09-29 14:50:17,741 -- BPR fold [1] iter 19: loss = 4256.9424, delta_loss = 41.83555, learn_rate = 0.004584037
[DEBUG] 2017-09-29 14:50:17,747 -- BPR fold [11] iter 20: loss = 3310.652, delta_loss = 116.5652, learn_rate = 0.0048132385
[DEBUG] 2017-09-29 14:50:17,749 -- BPR fold [1] iter 20: loss = 3979.9858, delta_loss = 276.95633, learn_rate = 0.0048132385
[DEBUG] 2017-09-29 14:50:17,758 -- BPR fold [11] iter 21: loss = 3088.3855, delta_loss = 222.26651, learn_rate = 0.0050539006
[DEBUG] 2017-09-29 14:50:17,758 -- BPR fold [1] iter 21: loss = 3883.9006, delta_loss = 96.08539, learn_rate = 0.0050539006
[DEBUG] 2017-09-29 14:50:17,764 -- BPR fold [1] iter 22: loss = 3752.4006, delta_loss = 131.50003, learn_rate = 0.0053065955
[DEBUG] 2017-09-29 14:50:17,764 -- BPR fold [11] iter 22: loss = 2956.496, delta_loss = 131.88959, learn_rate = 0.0053065955
[DEBUG] 2017-09-29 14:50:17,770 -- BPR fold [11] iter 23: loss = 2795.0134, delta_loss = 161.48256, learn_rate = 0.0055719255
[DEBUG] 2017-09-29 14:50:17,770 -- BPR fold [1] iter 23: loss = 3544.683, delta_loss = 207.71748, learn_rate = 0.0055719255
[DEBUG] 2017-09-29 14:50:17,779 -- BPR fold [11] iter 24: loss = 2682.3691, delta_loss = 112.64438, learn_rate = 0.005850522
[DEBUG] 2017-09-29 14:50:17,780 -- BPR fold [1] iter 24: loss = 3506.5046, delta_loss = 38.178513, learn_rate = 0.005850522
[DEBUG] 2017-09-29 14:50:17,787 -- BPR fold [11] iter 25: loss = 2558.5515, delta_loss = 123.81767, learn_rate = 0.006143048
[DEBUG] 2017-09-29 14:50:17,788 -- BPR fold [1] iter 25: loss = 3297.7976, delta_loss = 208.70691, learn_rate = 0.006143048
[DEBUG] 2017-09-29 14:50:17,796 -- BPR fold [1] iter 26: loss = 3173.5212, delta_loss = 124.27639, learn_rate = 0.0064502
[DEBUG] 2017-09-29 14:50:17,796 -- BPR fold [11] iter 26: loss = 2451.5635, delta_loss = 106.98798, learn_rate = 0.0064502
[DEBUG] 2017-09-29 14:50:17,809 -- BPR fold [11] iter 27: loss = 2351.201, delta_loss = 100.36244, learn_rate = 0.00677271
[DEBUG] 2017-09-29 14:50:17,809 -- BPR fold [1] iter 27: loss = 3065.2395, delta_loss = 108.28175, learn_rate = 0.00677271
[DEBUG] 2017-09-29 14:50:17,816 -- BPR fold [11] iter 28: loss = 2273.9114, delta_loss = 77.28962, learn_rate = 0.007111346
[DEBUG] 2017-09-29 14:50:17,818 -- BPR fold [1] iter 28: loss = 2865.1, delta_loss = 200.13928, learn_rate = 0.007111346
[DEBUG] 2017-09-29 14:50:17,825 -- BPR fold [1] iter 29: loss = 2821.5256, delta_loss = 43.574444, learn_rate = 0.007466913
[DEBUG] 2017-09-29 14:50:17,827 -- BPR fold [11] iter 29: loss = 2108.8945, delta_loss = 165.01675, learn_rate = 0.007466913
[DEBUG] 2017-09-29 14:50:17,833 -- BPR fold [1] iter 30: loss = 2675.2588, delta_loss = 146.26701, learn_rate = 0.007840259
[DEBUG] 2017-09-29 14:50:17,833 -- BPR fold [11] iter 30: loss = 1960.8757, delta_loss = 148.01886, learn_rate = 0.007840259
[DEBUG] 2017-09-29 14:50:17,841 -- BPR fold [1] iter 31: loss = 2535.6238, delta_loss = 139.63498, learn_rate = 0.008232271
[DEBUG] 2017-09-29 14:50:17,843 -- BPR fold [11] iter 31: loss = 1903.2473, delta_loss = 57.628407, learn_rate = 0.008232271
[DEBUG] 2017-09-29 14:50:17,849 -- BPR fold [1] iter 32: loss = 2470.1296, delta_loss = 65.494156, learn_rate = 0.008643885
[DEBUG] 2017-09-29 14:50:17,852 -- BPR fold [11] iter 32: loss = 1827.3115, delta_loss = 75.93578, learn_rate = 0.008643885
[DEBUG] 2017-09-29 14:50:17,857 -- BPR fold [1] iter 33: loss = 2398.9082, delta_loss = 71.221375, learn_rate = 0.009076079
[DEBUG] 2017-09-29 14:50:17,860 -- BPR fold [11] iter 33: loss = 1678.9583, delta_loss = 148.35336, learn_rate = 0.009076079
[DEBUG] 2017-09-29 14:50:17,864 -- BPR fold [1] iter 34: loss = 2290.707, delta_loss = 108.20126, learn_rate = 0.009529883
[DEBUG] 2017-09-29 14:50:17,867 -- BPR fold [11] iter 34: loss = 1675.824, delta_loss = 3.1341605, learn_rate = 0.009529883
[DEBUG] 2017-09-29 14:50:17,871 -- BPR fold [1] iter 35: loss = 2167.4197, delta_loss = 123.287224, learn_rate = 0.0100063775
[DEBUG] 2017-09-29 14:50:17,875 -- BPR fold [11] iter 35: loss = 1633.921, delta_loss = 41.902958, learn_rate = 0.0100063775
[DEBUG] 2017-09-29 14:50:17,878 -- BPR fold [1] iter 36: loss = 2109.7717, delta_loss = 57.647964, learn_rate = 0.010506696
[DEBUG] 2017-09-29 14:50:17,885 -- BPR fold [1] iter 37: loss = 2083.6555, delta_loss = 26.116154, learn_rate = 0.011032031
[DEBUG] 2017-09-29 14:50:17,885 -- BPR fold [11] iter 36: loss = 1576.0281, delta_loss = 57.892952, learn_rate = 0.010506696
[DEBUG] 2017-09-29 14:50:17,892 -- BPR fold [1] iter 38: loss = 1981.2147, delta_loss = 102.440865, learn_rate = 0.011583633
[DEBUG] 2017-09-29 14:50:17,894 -- BPR fold [11] iter 37: loss = 1547.0894, delta_loss = 28.938738, learn_rate = 0.011032031
[DEBUG] 2017-09-29 14:50:17,899 -- BPR fold [1] iter 39: loss = 1826.0913, delta_loss = 155.12343, learn_rate = 0.012162815
[DEBUG] 2017-09-29 14:50:17,900 -- BPR fold [11] iter 38: loss = 1430.5208, delta_loss = 116.56862, learn_rate = 0.011583633
[DEBUG] 2017-09-29 14:50:17,906 -- BPR fold [1] iter 40: loss = 1819.8602, delta_loss = 6.2311044, learn_rate = 0.012770955
[DEBUG] 2017-09-29 14:50:17,909 -- BPR fold [11] iter 39: loss = 1367.0114, delta_loss = 63.509457, learn_rate = 0.012162815
[DEBUG] 2017-09-29 14:50:17,915 -- BPR fold [1] iter 41: loss = 1840.1135, delta_loss = -20.253315, learn_rate = 0.013409503
[DEBUG] 2017-09-29 14:50:17,918 -- BPR fold [11] iter 40: loss = 1280.973, delta_loss = 86.03829, learn_rate = 0.012770955
[DEBUG] 2017-09-29 14:50:17,923 -- BPR fold [1] iter 42: loss = 1765.4668, delta_loss = 74.64679, learn_rate = 0.0067047514
[DEBUG] 2017-09-29 14:50:17,925 -- BPR fold [11] iter 41: loss = 1319.287, delta_loss = -38.31397, learn_rate = 0.013409503
[DEBUG] 2017-09-29 14:50:17,930 -- BPR fold [1] iter 43: loss = 1643.5096, delta_loss = 121.95707, learn_rate = 0.007039989
[DEBUG] 2017-09-29 14:50:17,931 -- BPR fold [11] iter 42: loss = 1247.4598, delta_loss = 71.82709, learn_rate = 0.0067047514
[DEBUG] 2017-09-29 14:50:17,937 -- BPR fold [11] iter 43: loss = 1219.0216, delta_loss = 28.438334, learn_rate = 0.007039989
[DEBUG] 2017-09-29 14:50:17,937 -- BPR fold [1] iter 44: loss = 1762.484, delta_loss = -118.97432, learn_rate = 0.0073919883
[DEBUG] 2017-09-29 14:50:17,943 -- BPR fold [11] iter 44: loss = 1223.4646, delta_loss = -4.4430256, learn_rate = 0.0073919883
[DEBUG] 2017-09-29 14:50:17,943 -- BPR fold [1] iter 45: loss = 1610.7753, delta_loss = 151.70871, learn_rate = 0.0036959941
[DEBUG] 2017-09-29 14:50:17,949 -- BPR fold [11] iter 45: loss = 1155.5962, delta_loss = 67.86843, learn_rate = 0.0036959941
[DEBUG] 2017-09-29 14:50:17,949 -- BPR fold [1] iter 46: loss = 1642.0133, delta_loss = -31.237953, learn_rate = 0.003880794
[DEBUG] 2017-09-29 14:50:17,962 -- BPR fold [11] iter 46: loss = 1181.7903, delta_loss = -26.194107, learn_rate = 0.003880794
[DEBUG] 2017-09-29 14:50:17,963 -- BPR fold [1] iter 47: loss = 1628.5077, delta_loss = 13.505596, learn_rate = 0.001940397
[DEBUG] 2017-09-29 14:50:17,968 -- BPR fold [11] iter 47: loss = 1099.4175, delta_loss = 82.372795, learn_rate = 0.001940397
[DEBUG] 2017-09-29 14:50:17,972 -- BPR fold [1] iter 48: loss = 1616.034, delta_loss = 12.473576, learn_rate = 0.002037417
[DEBUG] 2017-09-29 14:50:17,975 -- BPR fold [11] iter 48: loss = 1200.3983, delta_loss = -100.98087, learn_rate = 0.002037417
[DEBUG] 2017-09-29 14:50:17,981 -- BPR fold [1] iter 49: loss = 1588.8855, delta_loss = 27.14863, learn_rate = 0.0021392878
[DEBUG] 2017-09-29 14:50:17,982 -- BPR fold [11] iter 49: loss = 1133.206, delta_loss = 67.19228, learn_rate = 0.0010187085
[DEBUG] 2017-09-29 14:50:17,988 -- BPR fold [1] iter 50: loss = 1622.6359, delta_loss = -33.75039, learn_rate = 0.002246252
[DEBUG] 2017-09-29 14:50:17,990 -- BPR fold [11] iter 50: loss = 1125.5011, delta_loss = 7.7050176, learn_rate = 0.0010696439
[DEBUG] 2017-09-29 14:50:17,998 -- BPR fold [1] iter 51: loss = 1595.4641, delta_loss = 27.171732, learn_rate = 0.001123126
[DEBUG] 2017-09-29 14:50:18,000 -- BPR fold [11] iter 51: loss = 1152.6884, delta_loss = -27.187271, learn_rate = 0.001123126
[DEBUG] 2017-09-29 14:50:18,006 -- BPR fold [1] iter 52: loss = 1618.1409, delta_loss = -22.676699, learn_rate = 0.0011792823
[DEBUG] 2017-09-29 14:50:18,007 -- BPR fold [11] iter 52: loss = 1137.152, delta_loss = 15.536362, learn_rate = 5.61563E-4
[DEBUG] 2017-09-29 14:50:18,012 -- BPR fold [1] iter 53: loss = 1591.0947, delta_loss = 27.046068, learn_rate = 5.8964116E-4
[DEBUG] 2017-09-29 14:50:18,013 -- BPR fold [11] iter 53: loss = 1145.2382, delta_loss = -8.086266, learn_rate = 5.8964116E-4
[DEBUG] 2017-09-29 14:50:18,018 -- BPR fold [1] iter 54: loss = 1645.091, delta_loss = -53.99616, learn_rate = 6.191232E-4
[DEBUG] 2017-09-29 14:50:18,019 -- BPR fold [11] iter 54: loss = 1155.3718, delta_loss = -10.133616, learn_rate = 2.9482058E-4
[DEBUG] 2017-09-29 14:50:18,024 -- BPR fold [1] iter 55: loss = 1621.4297, delta_loss = 23.661217, learn_rate = 3.095616E-4
[DEBUG] 2017-09-29 14:50:18,026 -- BPR fold [11] iter 55: loss = 1160.34, delta_loss = -4.9681706, learn_rate = 1.4741029E-4
[DEBUG] 2017-09-29 14:50:18,030 -- BPR fold [1] iter 56: loss = 1578.7338, delta_loss = 42.695885, learn_rate = 3.250397E-4
[DEBUG] 2017-09-29 14:50:18,032 -- BPR fold [11] iter 56: loss = 1169.9363, delta_loss = -9.596326, learn_rate = 7.3705145E-5
[DEBUG] 2017-09-29 14:50:18,037 -- BPR fold [1] iter 57: loss = 1573.6571, delta_loss = 5.076705, learn_rate = 3.4129168E-4
[DEBUG] 2017-09-29 14:50:18,037 -- BPR fold [11] iter 57: loss = 1145.2909, delta_loss = 24.645384, learn_rate = 3.6852573E-5
[DEBUG] 2017-09-29 14:50:18,044 -- BPR fold [1] iter 58: loss = 1658.0793, delta_loss = -84.422195, learn_rate = 3.5835625E-4
[DEBUG] 2017-09-29 14:50:18,045 -- BPR fold [11] iter 58: loss = 1157.7437, delta_loss = -12.452667, learn_rate = 3.86952E-5
[DEBUG] 2017-09-29 14:50:18,051 -- BPR fold [11] iter 59: loss = 1141.0497, delta_loss = 16.69398, learn_rate = 1.93476E-5
[DEBUG] 2017-09-29 14:50:18,054 -- BPR fold [1] iter 59: loss = 1570.2369, delta_loss = 87.84237, learn_rate = 1.7917813E-4
[DEBUG] 2017-09-29 14:50:18,058 -- BPR fold [11] iter 60: loss = 1090.5098, delta_loss = 50.539814, learn_rate = 2.0314981E-5
[DEBUG] 2017-09-29 14:50:18,060 -- BPR fold [1] iter 60: loss = 1620.7388, delta_loss = -50.501865, learn_rate = 1.8813704E-4
[DEBUG] 2017-09-29 14:50:18,067 -- BPR fold [11] iter 61: loss = 1134.5756, delta_loss = -44.065735, learn_rate = 2.133073E-5
[DEBUG] 2017-09-29 14:50:18,068 -- BPR fold [1] iter 61: loss = 1554.5771, delta_loss = 66.1617, learn_rate = 9.406852E-5
[DEBUG] 2017-09-29 14:50:18,076 -- BPR fold [11] iter 62: loss = 1159.0717, delta_loss = -24.49608, learn_rate = 1.0665365E-5
[DEBUG] 2017-09-29 14:50:18,077 -- BPR fold [1] iter 62: loss = 1629.6406, delta_loss = -75.063576, learn_rate = 9.877195E-5
[DEBUG] 2017-09-29 14:50:18,084 -- BPR fold [11] iter 63: loss = 1135.2831, delta_loss = 23.788507, learn_rate = 5.3326826E-6
[DEBUG] 2017-09-29 14:50:18,085 -- BPR fold [1] iter 63: loss = 1564.7494, delta_loss = 64.89127, learn_rate = 4.9385973E-5
[DEBUG] 2017-09-29 14:50:18,090 -- BPR fold [11] iter 64: loss = 1169.4417, delta_loss = -34.15849, learn_rate = 5.5993164E-6
[DEBUG] 2017-09-29 14:50:18,091 -- BPR fold [1] iter 64: loss = 1670.634, delta_loss = -105.884605, learn_rate = 5.185527E-5
[DEBUG] 2017-09-29 14:50:18,096 -- BPR fold [11] iter 65: loss = 1154.7969, delta_loss = 14.644722, learn_rate = 2.7996582E-6
[DEBUG] 2017-09-29 14:50:18,099 -- BPR fold [1] iter 65: loss = 1638.3119, delta_loss = 32.32216, learn_rate = 2.5927635E-5
[DEBUG] 2017-09-29 14:50:18,102 -- BPR fold [11] iter 66: loss = 1177.7273, delta_loss = -22.930422, learn_rate = 2.9396413E-6
[DEBUG] 2017-09-29 14:50:18,105 -- BPR fold [1] iter 66: loss = 1607.4095, delta_loss = 30.902258, learn_rate = 2.7224018E-5
[DEBUG] 2017-09-29 14:50:18,108 -- BPR fold [11] iter 67: loss = 1118.318, delta_loss = 59.409283, learn_rate = 1.4698206E-6
[DEBUG] 2017-09-29 14:50:18,111 -- BPR fold [1] iter 67: loss = 1610.094, delta_loss = -2.6843572, learn_rate = 2.8585218E-5
[DEBUG] 2017-09-29 14:50:18,114 -- BPR fold [11] iter 68: loss = 1170.478, delta_loss = -52.159954, learn_rate = 1.5433117E-6
[DEBUG] 2017-09-29 14:50:18,117 -- BPR fold [1] iter 68: loss = 1631.101, delta_loss = -21.00699, learn_rate = 1.4292609E-5
[DEBUG] 2017-09-29 14:50:18,120 -- BPR fold [11] iter 69: loss = 1148.8512, delta_loss = 21.626795, learn_rate = 7.7165583E-7
[DEBUG] 2017-09-29 14:50:18,124 -- BPR fold [1] iter 69: loss = 1614.6884, delta_loss = 16.41262, learn_rate = 7.1463046E-6
[DEBUG] 2017-09-29 14:50:18,129 -- BPR fold [11] iter 70: loss = 1164.1873, delta_loss = -15.336106, learn_rate = 8.102386E-7
[DEBUG] 2017-09-29 14:50:18,132 -- BPR fold [1] iter 70: loss = 1571.9321, delta_loss = 42.75619, learn_rate = 7.5036196E-6
[DEBUG] 2017-09-29 14:50:18,137 -- BPR fold [11] iter 71: loss = 1118.1456, delta_loss = 46.04168, learn_rate = 4.051193E-7
[DEBUG] 2017-09-29 14:50:18,140 -- BPR fold [1] iter 71: loss = 1586.3304, delta_loss = -14.3982725, learn_rate = 7.878801E-6
[DEBUG] 2017-09-29 14:50:18,145 -- BPR fold [11] iter 72: loss = 1122.6825, delta_loss = -4.5368915, learn_rate = 4.2537528E-7
[DEBUG] 2017-09-29 14:50:18,149 -- BPR fold [1] iter 72: loss = 1651.9882, delta_loss = -65.65771, learn_rate = 3.9394004E-6
[DEBUG] 2017-09-29 14:50:18,152 -- BPR fold [11] iter 73: loss = 1181.2212, delta_loss = -58.538696, learn_rate = 2.1268764E-7
[DEBUG] 2017-09-29 14:50:18,157 -- BPR fold [1] iter 73: loss = 1627.4249, delta_loss = 24.563202, learn_rate = 1.9697002E-6
[DEBUG] 2017-09-29 14:50:18,161 -- BPR fold [11] iter 74: loss = 1139.2826, delta_loss = 41.938572, learn_rate = 1.0634382E-7
