SESSIONID USERID REQUESTDATE REQUESTEDURL band_id music_genre instrumental
245 245 16:15:02 h:casal_de_cambra_ft_bkt d:36338 d:rap_hip_hop d:0
245 245 09:22:49 h:hey_girl_ft_ntk d:40811 d:rap_hip_hop d:0
245 245 10:21:01 h:lil_thug_sound_production d:39460 d:alternativa d:1
245 245 20:31:44 h:o_nosso_guetto d:42313 d:rap_hip_hop d:1
245 245 16:36:57 h:criminal_g_sem_ti_na_o_da_vanessa d:41915 d:rap_hip_hop d:1
245 245 08:46:49 h:danito_ft_myth_jp_lagrimas_na_cara d:35708 d:rap_hip_hop d:0
245 245 22:07:25 h:01_djas_di_street_krew_2008_dj_master_g_hino_da_street_bonus_track d:43371 d:outro d:1
245 245 22:37:13 h:joe_if_i_was_your_man d:42464 d:rap_hip_hop d:1
245 245 11:29:51 h:a_para_ti d:38041 d:rap_hip_hop d:0
245 245 21:24:53 h:mentis_afro_a_s_disturpa_na_s_hista_ria d:42978 d:rap_hip_hop d:1
245 245 22:06:02 h:brabo_rm_ft_hugo_g_n0s_bairro d:36888 d:rap_hip_hop d:1
245 245 21:48:27 h:mc_sig_ft_putto_barra_am0r_infinit0 d:43581 d:rap_hip_hop d:1
245 245 22:42:17 h:dih_feat_sa_raia_subras_block_eu_a_queria_caparica_ms d:43921 d:rap_hip_hop d:1
245 245 22:28:54 h:apara_ncia d:39639 d:rap_hip_hop d:0
245 245 16:48:35 h:mc_puto_lacost_e_akele_amor d:39562 d:rap_hip_hop d:1
245 245 06:37:06 h:interca_mbio d:36974 d:rap_hip_hop d:1
245 245 15:16:14 h:vem_ver_o_perigo d:37594 d:rap_hip_hop d:1
245 245 19:11:39 h:difusa_o_sonhos_de_menino d:44070 d:rap_hip_hop d:1
245 245 21:34:29 h:tetra_xg d:37789 d:rap_hip_hop d:0
245 245 22:52:20 h:sociedade_oculta_filipa_mc_babi_isolado d:33887 d:rap_hip_hop d:0
245 245 23:16:12 h:infiltrado_ft_inato_na_o_te_quero_perder d:41685 d:rap_hip_hop d:1
245 245 19:18:02 h:inato_ft_infiltrado_erros d:42116 d:rap_hip_hop d:1
245 245 21:29:40 h:funabtk_dj_xunxe_and_dj_douglas d:42939 d:electronica_dance d:1
245 245 15:51:02 h:o_erro_de_te_conhecer_2008 d:39243 d:r_b d:1
245 245 22:42:20 h:11_djas_di_street_krew_2008_dj_hodji_alameda_das_palmeiras_bela_vista d:43371 d:outro d:1
245 245 08:39:27 h:street_killers_caparica_pesada_jc_records d:38565 d:rap_hip_hop d:0
245 245 22:20:37 h:akabaste_joker_g_prod_ck15_a_k_a_sebkys d:43491 d:rap_hip_hop d:1
245 245 20:12:50 h:mestres_de_cerimonias_bro_adg_d_tox d:41587 d:rap_hip_hop d:1
245 245 10:01:41 h:02_mudancas_mixtape_ideias_expressadas d:38413 d:rap_hip_hop d:0
245 245 23:25:05 h:papadocks_ft_mortex_nhela60_e_na_street d:40873 d:rap_hip_hop d:1
245 245 10:09:09 h:ha_mulheres_e_bitchies d:37839 d:rap_hip_hop d:1
245 245 23:27:13 h:mc_flavinho_dedicado_aos_especiais d:44386 d:r_b d:1
245 245 23:25:05 h:rest_in_peace_angel_ft_bg_nhela60_mariu_gs_killa_b d:40873 d:rap_hip_hop d:1
245 245 23:25:15 h:chucko_chucko_beat_2008_da_veiga d:42337 d:rap_hip_hop d:1
245 245 22:22:26 h:p_unit_puto_eu_dou_te_go_p_unit_productions d:38952 d:rap_hip_hop d:1
245 245 22:01:47 h:djiflow_tropaz_di_ghetto_krypt_que_venham_mais_100_iguais_a_ti d:40778 d:rap_hip_hop d:1
245 245 06:16:00 h:warning_power_tecnho d:35411 d:electronica_dance d:1
245 245 16:49:19 h:putos_di_cp_1a_produa_a_o d:39970 d:rap_hip_hop d:1
245 245 23:25:15 h:guitar_bass_beat_da_veiga d:42337 d:rap_hip_hop d:1
245 245 14:43:50 h:qualquer_cena d:39421 d:rap_hip_hop d:1
245 245 12:31:51 h:i_miss_u_so_much d:40408 d:rap_hip_hop d:1
245 245 08:07:23 h:lutadores_de_rua_vamos_curtir_a_night_2007 d:36956 d:rap_hip_hop d:0
245 245 09:15:50 h:ja_me_fartei_rita_lopez d:37165 d:outro d:0
245 245 14:15:37 h:crazy_life_soulrhymes_ft_kamigue d:36296 d:rap_hip_hop d:1
245 245 09:18:50 h:zig_zag_remix d:35411 d:electronica_dance d:1
245 245 22:24:37 h:putas_de_norte_a_sul_a_sa_kengas_e_vakas_ft_spm_sil d:40346 d:outro d:1
245 245 23:06:03 h:bloco111_quase_perfeito d:43645 d:rap_hip_hop d:1
245 245 21:39:27 h:the_summer_is_coming d:39255 d:electronica_dance d:1
245 245 23:25:18 h:chyvi_dodu_na_bo d:42416 d:outro d:0
245 245 20:14:05 h:a_morte_pede_carona d:41587 d:rap_hip_hop d:1
245 245 11:40:54 h:tu_a_s_ta_o_linda d:40408 d:rap_hip_hop d:1
245 245 21:28:59 h:obsessive_dream d:39255 d:electronica_dance d:1
245 245 21:38:19 h:puto_ko_tchora_ghetto_shadows_mortex_com_b_shadd d:37729 d:rap_hip_hop d:0
245 245 09:43:23 h:sa_sucesso_the_summer_arrived_vol_4_2006_cd1_01_batata_mc_ft_deus_verbal_marreco_mc_dama_anda_ca d:35419 d:rap_hip_hop d:1
245 245 22:52:29 h:xoye_txara_feat_jo_yo_rimas_e_flow d:7106 d:null d:0
245 245 15:10:13 h:as_portas_do_inferno_a_morte d:36406 d:rap_hip_hop d:1
245 245 22:28:54 h:so_quero_voltar_a_ter d:39639 d:rap_hip_hop d:0
245 245 11:43:37 h:snipers d:37839 d:rap_hip_hop d:1
245 245 14:13:36 h:naar_de_top_ft_bsf d:36296 d:rap_hip_hop d:1
245 245 12:31:51 h:parazaa_r_music_mix d:35411 d:electronica_dance d:1
245 245 20:17:44 h:beat_paino_acapella_tupac d:41441 d:rap_hip_hop d:1
245 245 10:13:17 h:beleza_artificial_com_ba_nus_sam_the_kid d:39984 d:rap_hip_hop d:0
245 245 12:21:48 h:brincomos_com_as_palavras d:36237 d:rap_hip_hop d:1
245 245 18:01:21 h:azteka_ft_lyrisista_assim_que_fazem_os_puros d:38025 d:outro d:1
245 245 22:52:29 h:xoye_txara_feat_jo_yo_caminho_livre d:7106 d:null d:0
245 245 22:24:03 h:o_nosso_sentimento_pra_as_noxas_damas_ft_putokiler_puto_mc d:40346 d:outro d:1
245 245 23:25:15 h:house_yeah_hot_summer_da_veiga d:42337 d:rap_hip_hop d:1
245 245 22:42:20 h:kuando_te_konhesi_mc_jorge_2008 d:39057 d:rap_hip_hop d:1
245 245 10:13:17 h:pseudo_mcs_ft_bonus d:39984 d:rap_hip_hop d:0
245 245 06:32:56 h:intro_bombastick_2008_toppo_feat_thug d:36872 d:rap_hip_hop d:1
245 245 19:10:42 h:relikias_ft_mcbboy_amizade_ou_falsidade_2oo8 d:41077 d:rap_hip_hop d:0
245 245 13:55:15 h:mafia_crew_kat_m_1 d:38041 d:rap_hip_hop d:0
245 245 22:06:41 h:drix_ta_loucooo_2008_dj_drix d:40059 d:outro d:1
245 245 13:02:08 h:kenny_g_minha_princesa_enova_a_ao2007 d:40143 d:rap_hip_hop d:1
245 245 10:25:18 h:kutegash_can_you d:37618 d:outro d:0
245 245 10:42:43 h:g_don_ft_nga_jantes_no_meu_carro_prod_nga d:44211 d:rap_hip_hop d:1
245 245 12:58:33 h:sinto_a_tua_falta_2 d:38259 d:outro d:1
245 245 18:32:43 h:cenas_da_vida_ft_spm_ft_shouz_mc_babi d:40346 d:outro d:1
245 245 11:44:07 h:master_m_amizade d:34807 d:rap_hip_hop d:0
245 245 22:30:20 h:dj_dom_kasmire d:37761 d:electronica_dance d:1
245 245 22:52:29 h:putos_di_cp_nossas_vidas d:39970 d:rap_hip_hop d:1
245 245 21:41:34 h:somos_soldados_unidos d:38025 d:outro d:1
245 245 15:13:10 h:vem_pa_pa_de_mim d:40811 d:rap_hip_hop d:1
245 245 10:14:14 h:puto_d_featuring_caminhante d:39670 d:rap_hip_hop d:0
245 245 19:17:29 h:p_mike_ft_inato_desilusa_o d:42116 d:rap_hip_hop d:1
245 245 13:37:38 h:keimar_o_kaya d:37252 d:rap_hip_hop d:1
245 245 23:16:12 h:levanta_a_cabea_a_1 d:41685 d:rap_hip_hop d:1
245 245 21:49:57 h:brabo_rm_ft_suicide_prophecy_a_s_podi_fala d:36888 d:rap_hip_hop d:1
245 245 22:22:26 h:vocee_ta_bravo_2008_dj_drix d:40059 d:outro d:1
245 245 11:36:08 h:dancing_in_the_night_hb_production_vol_2 d:35411 d:electronica_dance d:1
245 245 20:53:38 h:capta_mr_by d:41552 d:rap_hip_hop d:1
245 245 22:37:04 h:bloco111_thug_b111_levanta_a_cabea_a_thug d:43645 d:rap_hip_hop d:0
245 245 20:12:20 h:blekan_deka_ft_dem_boyz_azteka_thug_live d:38025 d:outro d:1
245 245 21:01:14 h:jay_c_vamos_mudar d:41220 d:rap_hip_hop d:1
245 245 21:21:39 h:spin_city_fusion d:39255 d:electronica_dance d:1
245 245 21:05:15 h:manda_boka_masterkillah_feat_donnel_street d:40548 d:rap_hip_hop d:1
245 245 09:40:24 h:abre_os_olhos_1 d:36974 d:rap_hip_hop d:1
245 245 12:19:26 h:mc_icelatino_feat_mc_mastah_rimas_fortes d:38506 d:rap_hip_hop d:0
245 245 22:52:29 h:fds_drc_amar_te_para_sempre_1 d:42928 d:outro d:1
245 245 08:00:03 h:i_will_be_waiting_for_you_kiza_remix_dj_shark d:39426 d:electronica_dance d:1
245 245 23:27:04 h:mc_babi_quero_fazer_te_feliz d:33887 d:rap_hip_hop d:0
245 245 23:10:06 h:dj_dom_fuck_over_up d:37761 d:electronica_dance d:1
245 245 22:07:16 h:amizade_verdadeira_feat_katy d:40704 d:rap_hip_hop d:0
245 245 22:20:28 h:tick_tack d:42805 d:outro d:1
245 245 22:50:22 h:parabens_toppo_gigio_pela_tua_desgraa_a d:41685 d:rap_hip_hop d:1
245 245 06:58:56 h:rap_da_verdade_ft_infiltrado d:37594 d:rap_hip_hop d:1
245 245 22:25:30 h:falsos d:36872 d:rap_hip_hop d:1
245 245 11:43:47 h:joker_74_buehcys_quero_te_perder d:38594 d:rap_hip_hop d:0
245 245 20:57:07 h:dj_afs_r_p_bocage d:40158 d:outro d:0
245 245 22:29:03 h:em_cada_canto_do_meu_mundo d:39639 d:rap_hip_hop d:0
245 245 22:06:41 h:rap_kings_ft_dem_boyz d:41157 d:rap_hip_hop d:0
245 245 23:05:23 h:criminal_g_jc_ft_pastor_na_o_temos_de_provar_jc_records d:36402 d:rap_hip_hop d:1
245 245 22:37:13 h:o_guetto_faz_a_fora_a d:42464 d:rap_hip_hop d:1
245 245 22:42:20 h:ca_zar_amon_chakal_sente d:38562 d:rap_hip_hop d:1
245 245 11:40:54 h:guerra_fria_parte_2 d:38259 d:outro d:1
245 245 10:17:41 h:historia_um_pequeno_rapaz_beto_di_guetto d:39628 d:pop d:0
245 245 12:58:33 h:bcc_marko_ft_nuno_pikas_nova_coneccao d:44380 d:rap_hip_hop d:1
245 245 09:58:11 h:buraka_vs_antoine_clamaran_babylon_remix d:39105 d:electronica_dance d:1
245 245 21:33:26 h:jogo_de_prazer_novembro_2008 d:43923 d:rap_hip_hop d:1
245 245 12:36:41 h:dj_shark_dana_a_dana_a_remix_ft_ddr_red_chicas d:39426 d:electronica_dance d:1
245 245 22:42:20 h:tuh_es_o_meu_amor_tu_es_a_minha_vida d:39057 d:rap_hip_hop d:1
245 245 21:39:36 h:mentis_afro_koka_dhomi_2008 d:42978 d:rap_hip_hop d:1
245 245 22:30:02 h:dor d:41019 d:rap_hip_hop d:1
245 245 22:46:13 h:promessas_em_vao_mc_caramelo_ft_mc_strange_girl d:43524 d:rap_hip_hop d:1
245 245 23:25:17 h:pensamento_em_rolamento_beat_da_veiga d:42337 d:rap_hip_hop d:1
245 245 14:01:23 h:crioulo_mc_na_zona_sem_fundo d:40246 d:rap_hip_hop d:0
245 245 08:20:50 h:dj_rayl_revolua_a_o_lirical d:38382 d:rap_hip_hop d:1
245 245 07:46:13 h:tu_sabes_1 d:39976 d:rap_hip_hop d:1
245 245 11:06:59 h:sakesar_alma_gemea d:39921 d:rap_hip_hop d:1
245 245 09:27:37 h:duoelo_bimbos_formatados_prod_intakto d:34860 d:rap_hip_hop d:0
245 245 22:07:26 h:dicas_da_vida d:42590 d:rap_hip_hop d:1
245 245 10:36:09 h:sempre_o_mesmo_2 d:38146 d:rap_hip_hop d:0
245 245 10:35:27 h:ranhola_ft_patel_e_mauro_e_wilson_fuck_g_squad d:39772 d:rap_hip_hop d:1
245 245 10:29:22 h:a_sa_s_com_a_nostalgia d:35568 d:outro d:0
245 245 13:02:08 h:kenny_g_a_minha_desillusao_2007 d:40143 d:rap_hip_hop d:1
245 245 11:44:07 h:pedra_filosofal_ft_lilfamily d:36338 d:rap_hip_hop d:0
245 245 10:44:56 h:sintomas d:37917 d:rap_hip_hop d:0
245 245 09:56:36 h:verbal_soldiers_ft_ghetto_shadows_porqua_deus d:34053 d:rap_hip_hop d:0
245 245 23:27:04 h:beatmafiacrew_mafiazzzz_mp3 d:39515 d:rap_hip_hop d:1
245 245 06:22:07 h:o_rap_a_isto d:41587 d:rap_hip_hop d:1
245 245 10:41:35 h:porque_o_tempo_passa d:38444 d:rap_hip_hop d:0
